event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
288,19,1. FC Union Berlin,home, 75 ,Yellow card, Robin Knoche ,
289,19,1. FC Union Berlin,home, 77 ,Substitution, Niko Gießelmann , Christopher Trimmel 
290,19,1. FC Union Berlin,home, 77 ,Substitution, Jamie Leweling , Morten Thorsby 
291,19,1. FC Union Berlin,home, 77 ,Substitution, Sven Michel , Sheraldo Becker 
292,19,R. Union SG,away, 80 ,Substitution, Simon Adingra , Yorbe Vertessen 
293,19,1. FC Union Berlin,home, 85 ,Yellow card, Niko Gießelmann ,
294,19,R. Union SG,away, 86 ,Substitution, Gustaf Nilsson , Victor Boniface 
295,19,R. Union SG,away, 86 ,Substitution, Cameron Puertas , Lazare Amani 
296,19,1. FC Union Berlin,home, 89 ,Goal, Sven Michel ,
297,20,Ajax,away, 17 ,Yellow card, Calvin Bassey ,
298,20,1. FC Union Berlin,home, 20 ,Yellow card, Sheraldo Becker ,
299,20,Ajax,away, 20 ,Yellow card, Davy Klaassen ,
300,20,1. FC Union Berlin,home, 20 ,Penalty, Robin Knoche , Penalty 
301,20,1. FC Union Berlin,home, 28 ,Yellow card, Danilho Doekhi ,
302,20,1. FC Union Berlin,home, 44 ,Goal, Josip Juranović , Janik Haberer 
303,20,Ajax,away, 47 ,Goal, Mohammed Kudus , Steven Bergwijn 
304,20,1. FC Union Berlin,home, 50 ,Goal, Danilho Doekhi , Josip Juranović 
305,20,Ajax,away, 64 ,Substitution, Brian Brobbey , Davy Klaassen 
306,20,1. FC Union Berlin,home, 65 ,Substitution, Morten Thorsby , Aïssa Laïdouni 
307,20,1. FC Union Berlin,home, 65 ,Substitution, Jordan Siebatcheu , Kevin Behrens 
308,20,Ajax,away, 80 ,Substitution, Lorenzo Lucca , Steven Bergwijn 
309,20,Ajax,away, 84 ,Substitution, Francisco Conceição , Devyne Rensch 
310,20,1. FC Union Berlin,home, 85 ,Substitution, Jamie Leweling , Sheraldo Becker 
311,20,Ajax,away, 92 ,Yellow card, Steven Berghuis ,
312,20,1. FC Union Berlin,home, 94 ,Substitution, Niko Gießelmann , Jérôme Roussillon 
313,20,1. FC Union Berlin,home, 94 ,Substitution, Christopher Trimmel , Josip Juranović 
314,20,Ajax,away, 95 ,Yellow card, Mohammed Kudus ,
315,20,Ajax,away, 96 ,Yellow card, Edson Álvarez ,
316,20,Ajax,away, 96 ,Yellow card, Dušan Tadić ,
317,20,Ajax,away, 97 ,Second yellow card, Edson Álvarez ,
318,21,Roma,home, 4 ,Yellow card, Roger Ibañez ,
319,21,Roma,home, 5 ,Yellow card, Lorenzo Pellegrini ,
320,21,Roma,home, 33 ,Goal, Andrea Belotti ,
321,21,Roma,home, 40 ,Goal, Paulo Dybala , Leonardo Spinazzola 
322,21,RB Salzburg,away, 45 ,Substitution, Luka Sučić , Maurits Kjærgaard 
323,21,Roma,home, 54 ,Yellow card, Leonardo Spinazzola ,
324,21,RB Salzburg,away, 74 ,Substitution, Benjamin Šeško , Junior Adamu 
325,21,RB Salzburg,away, 74 ,Substitution, Ignace Van der Brempt , Amar Dedić 
326,21,Roma,home, 74 ,Yellow card, Nicola Zalewski ,
327,21,RB Salzburg,away, 75 ,Substitution, Oscar Gloukh , Nicolas Seiwald 
328,21,Roma,home, 81 ,Substitution, Georginio Wijnaldum , Lorenzo Pellegrini 
329,21,Roma,home, 81 ,Substitution, Rick Karsdorp , Nicola Zalewski 
330,21,RB Salzburg,away, 84 ,Substitution, Sékou Koïta , Nicolás Capaldo 
331,21,Roma,home, 87 ,Substitution, Tammy Abraham , Andrea Belotti 
332,21,Roma,home, 93 ,Substitution, Stephan El Shaarawy , Paulo Dybala 
333,22,Barcelona,away, 18 ,Penalty, Robert Lewandowski , Penalty 
334,22,Manchester United,home, 45 ,Substitution, Antony , Wout Weghorst 
335,22,Manchester United,home, 47 ,Goal, Fred , Bruno Fernandes 
336,22,Manchester United,home, 60 ,Yellow card, Bruno Fernandes ,
337,22,Barcelona,away, 60 ,Yellow card, Sergi Roberto ,
338,22,Manchester United,home, 67 ,Substitution, Diogo Dalot , Aaron Wan-Bissaka 
339,22,Manchester United,home, 67 ,Substitution, Alejandro Garnacho , Jadon Sancho 
